essay_id,prompt,output,answer_counts,human_grade
3541,"

Do you think that books that have vulgar things in them should be on libaries shelfs?  We all know that there are books out there are parents hope we never get a hold of.  In this time try and find a good action movie without cuss words in it.  It is nearly immposible to do that.  Just because books have vulgar language, blood and gour, and sexual things, doesn't mean they should be pulled off the shelf.     Have you seen the banned book list lately?  I have and some of those books on there are ridciolus.  Here are a few @PERSON2, @PERSON1, @CAPS1 @CAPS2, and @CAPS3 @PERSON2's @CAPS4.  I could go on and on, the list is a mile long.  Some of these books have historical meanings behind them.  There is also morals behind them. I think that books should not be pulled from the self because they have a few bad words in them.  It's not liuke we have never heard them words.     In @CAPS3 @PERSON2's @CAPS4 they have banned it from schyools because of the use of the word 'nigger'.  This is not a nice word in our day and time. Back when we had slaves that is what they were called.  It is points and views from an anti-slavery author.  In @CAPS7 @CAPS8 it is banned because of animals talking.  Come on really they have animals in movies that talk all the time.  I belive that if kids don't no that animals cant really talk we might have problems.     Do you find the show @PERSON3 the @CAPS9 offensive?  Well it has been banned because @CAPS10 is racit against @CAPS11.  I would like to no how some of these people come up with this at.  Whoever picks up this offensive matrial has a choice wheater or not they read it.  It should be on the shelf even if it is offensive.  I belive that it is totally up to you, if you read it.  Just like if you go to a mvie store they have the movies rated.  You dont want to watch rated @CAPS12 movies then dont rent it.  They could use the same method with books.     Do you still think offensive books should be pulled from shelfs?  If you say yes, I would like to no why.  It is your choice to read it. There are already all these other banned books out there why ban any more.  Just because books have vulgar lanuage, blood and gour, and sexual things, doesn't mean they should be pulled from shelfs.
",C,{'C': 10},C
3542,"

I think censorship in libraries is wrong. Books, movies, and magazines are ment to inlighten, inform, and entertain the reads. If you find something offensive in the book, movie, or even the magazine doesn't mean the next person will. If you don't want your child reading or watching those things, then limit what they watch or read, don't make the people who don't have a problem with what their reading or watching suffur. They have the same right to have those books, movies, and magazines on the shelves as you do!     There has been times when I've wanted a book, but the libaray won't get it because of the adult content in the book. Yet I was raised reading those book, so to me it wasn't adult content. The same goes with the movies, I was allowed to watch rated @CAPS1 movies when I was eight years old. Yet movies have ratings that tell you if it's of for a child or adult, like @NUM1 to rated @CAPS1. The libaray has the same works, a child cannot rent a movie rated @CAPS1 without a parent present to get it for them, same goes for a movie theater.     Parent who are worried about their childrens well being, shouldn't make libraries take books, movies, and magazines off the shelves, because of things they find offensive. Other people who pay taxes for those books, movies, and magazines would like to read them as much as the next one, like some libraries bann 'The @CAPS4 of @PERSON1', because of the way the story is written. Someone found it offensive and gathered a lot of other people, whom didn't read the book but took the word from the person who did, and banned the book. If they had read the book they'd would have understood, it wasn't ment to be offensive, but a fictional story of @CAPS4.     I remember living in a town, with a lot of christin people, so the libraries only had christin books. When I went to the libraren and asked for a series of books, and was always turned down, because of the christin population. I told them 'I have as much rights too have those books on the shelve, as they have to have their books on the shelves.' I never got those books, but maybe someday they will look back on those requests and think of way they should have gotten them.     The reason I think censorship is wrong, is because no one should be able to tell people what they should read or watch. When they pay the same taxes everyone does to have those books and movies on the libraries shelves. If you have a problem with what your child watches and reads, than limit what your child reads and watches. Don't take away other people rights to read and watch what they want.
",B,{'B': 10},C
3543,"

In Katherine Paterson's writing she tells us that she does not want her child to pick up a book off the shelf that could be found offensive. But I think that there should be sections of the library that are cut off away from the public eye, but are still there for those certin people.     If my child were to pick up a book that was not for his/or her age group I would not get made, because I know that some of the book groups are close to others them some, but they are for everyone to see, which could be offensive to some. I would tell my son/ or daughter that that book is not for you, and we would go and pick out a new book to read.     Over all I think that there should be sections of the library that are made for a certin age group, and should not be seen by kids. Because once I was that little kid, and went wondering through the miles of shelfs to find a really wonderful book to read, but long behold that didn't happen, I had wondered along to find a book that was not in my age group.     So I think that there needs to be more careful eyes in the library staff to make sure that those kind of things will never happen again.
",C,"{'D': 4, 'C': 6}",D
3544,"

There are some movies,books,music,etc that @MONTH1 be found  offensive toward some people.I feel that if you are at the          appropriate age for a type of literature you should be able to observe it.If you read a book and you find it offensive,then      you shouldn't have read the book.Books,music,and movies are made to entertain you,however,if you are not entertained then what you're reading or watching is not for you!  I have had an experience in which I was offended by a movie I watched.It degraded women in which they were beaten and were treated as slaves.I was offended because as I watched the movie,and I realized that these women were someone's daughter and mother.I wouldn't agree with my mother being treated that way,also I wouldn't want any other woman being treated that way either.After I watched the movie,I went and informed my mother on how that movie offended me.I am sure that the authors who write the books intentions aren't to offend the reader,however,there @MONTH1 be a way that they can restate things that they say.I know that people have their own opinion,and that people think differently.If it is obvious that the reader's intentions are to offend the reader then you shouldn't purchase a book like that.If you find a book on the shelf,and you find it offensive,it shouldn't have to be removed from the shelf.Another person @MONTH1 read the book ,and they might like it.Everyone has their own way of thinking,and how they absorb information.It @MONTH1 be offensive to the reader,but someone else @MONTH1 recieve the book and admire it.  In conclusion,I feel that if you are offended by a certain book,type of music,or movie you should learn from the movie,and explain why it offended you.If a parent is offended they shouldn't allow their children to observe it as well.It will have a negative effect on your child.Books,music,movie,etc are made to entertain,not to offend.
",C,"{'C': 9, 'D': 1}",C
3545,"

I believe that censorship is a very debatable subject for many.But I think that I have a pretty good outlook , and a pretty good view on this. In this essay I'm going to give you my reasoning, and explain , and give some reasons why I think censorship is a good thing , and should maybe be inforced heavier.           Censorship. Should books, music, movies , magazines, etc. be taken off the shelf.. I believe that it is @LOCATION1 , and everyone should have their right to read what they want to,  and what they don't . I believe , that if someone want's to read something vulgur , then let them. If they are an adult , it's their choice. I think as far as the child part of it , that no , children should not be aloud to read things that @MONTH1 be vulgar, sexual , etc.           In keeping children away from these vulgar things , they should have,or keep seperate sections for kids, and adults. I dont think that children should be able to have the access, and maybe they won't know about it, or want it. If their parents think it's okay , and want to let them read it, or watch it, or listen to it,  that before they become an adult they will have to get it for them. I don't believe that children should be candy coated, and blind to the world, I just believe that there is a certain extent to what they need to be limited to.           I obviously think that censorship is a good thing. I think if there was more of it, I think there would be less crime. Kids are learning this , they're watching as young as god knows what, thinking it's okay from the start, and are growing up with that picture ,and message ,of them thinking it's okay  . No I am not saying that all kids learn everything from t.v., etc. ,and yes some @MONTH1 argue that kids dont copy what's on t.v. at all . But I think that t.v. , books, and music affect alot of how children view the world.           As much as I love rap music , and movies such as A.T.L ,rappers such as @ORGANIZATION1, even sometimes when I watch, or listen to those things, it kind of makes me feel like being jaded, and kind of makes me feel like I want to have a bad attitude towards the world, it makes me feel like I wanna live that hard life like that. I think that music , books, what we watch on t.v. , and what we read in the magazines , have a big affect. Such as if we watch the news and there's something depressing, it kind of makes you in a bad mood , or sad or depressed.           The media ,music , t.v., books , magazines, etc., affect our mood, our actions, and even sometimes the way we talk, and dress. I am not saying that dressing that more urban feel is a bad thing , I am just saying when you start doing crime, and drugs because of it, it's a problem. I believe that children should only be censored and not adults, because at the point when u reach adult-hood , your pretty much set in your way's, and have a pretty good look out on what you should be doing, and how you want thing's done. Children are still machuring ,and are like a sponge. Censorship , is a very sensitive , and argumentable/debatable issue, but this is just my view, whats yours ?
",C,"{'C': 8, 'B': 2}",C
3546,"

To whom it @MONTH1 concern;      As a student, I find myself reading frequently: at home, at school, in the library, in the car, basically any place I can get my hands on a novel. However, the novels that I have read are not always novels I have chosen for my personal gain. I must admit, I am not an avid reader on my own. I am the kind of student that enjoys reading a book that interests me. Many of the books I choose are relatable to reality, which often involves content that @MONTH1 be considered explicit. I believe books, magazines, movies, music, etc. should not be taken off shelves.      As @CAPS1 citizens, we have the right to free speech. This allows us the freedom to speak our mind and express our thoughts without restricting our personalities.This law allows authors and producers the right to base their work on what they want. Media that @MONTH1 be considered explicit is appealing to a variety of people, and to some it is considered disturbing. With the freedom we have as @CAPS2, we have the choice to see said movies, or read said books, but we also have the choice to avoid those situations. When producers produce movies containing sexual content, language, or violence, they aren't producing the movie, expecting every citizen to see it. They know some citizens are against that content. There is no law forcing us to see movies that we do not desire to see. We have the ability to choose what we want and do not want.      Explicit material is available everywhere you look. Walking in @LOCATION2 and @LOCATION3, we see books, music, and magazines lining the walls, most containing explicit material. Though many novels contain explicit material, there are still numerous amounts that do not. People complain about explicit content in novels when in actuality, there are many novels without explicit content. We are trained as humans to look for the bad in situations. We lead pessimistic lifestyles. Citizens need to learn to realize not everything is terrible. Look for the good in situations. There is an abundance of media that contains no explicit content or sexual material and we are given warnings as to what contains and does not contain this material. These warnings are required! Labels such as @CAPS3 or @CAPS4 are set to prove that the following is open for general audiences with and without parental supervision. Parents have the authority to monitor what their child involves himself or herself in. They can set rules for their children, saying they @MONTH1 only see @CAPS3 rated movies, or they have to have parental consent to read a magazine or novel. Parents are guardians for a reason; they need to monitor their child and care for him or her. If they do not like the music, novels, movies, etc. that their child watches, change it! They have the authority and right to do so. Instead of taking explicit material off the market to everyone, limit what you, personally, want to be off limits to your family on your own, and talk to them about it!     Katherine Paterson is completely correct when she says, 'If I have the right to remove that book from the shelf. . . then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any of us.' If we were given the right to remove and books, movies, magazines, etc. that we do not believe should be on the market, it is likely that we would have no media anymore. With the billions of citizens we have in @LOCATION1 alone, each individual is bound to find some flaw in a certain book. With each flaw found, we would want to eliminate that book, movie, or magazine from society, thus leaving us with no variety of material to choose from. People who feel strongly about eliminating explicit material would act quickly upon this law, rather than people who are against it. This would create a corrupt society, with a lot of fighting. We, as humans, enjoy the freedoms we are given and the choices we are allowed to make. Taking the freedom of what we read or watch away from us would take away or personality and sense of expression. Books, movies, and magazines are meant to be read based on opinion, and it should remain that way.     Books, movies, and magazines should be allowed to stay on the market even when they include explicit material. The choice to read or watch this material is up to the person, and should have no influence on other humans opinions.
",A,{'A': 10},C
3547,"

To who @CAPS3 @MONTH1 consern,         I belive that books,movies, and magazines should not beremoved from the shelfs of a library if they are found offensive. @CAPS2 books @MONTH1 seem offinsive to @CAPS2 people but to others there prospective is a lot different. I belive that if books or other things are found offinseive they should have  a speacial place for them, to where mature people will be able to read them. Books are very valuable to most people in the united states.      Many people love to read stuff that other people might find offensive. But is @CAPS3  really wrong for them to like something that someone else took the time to write. Just because one person  reads a book or magazine and they find something in there that they do not like they call @CAPS3 offensive. I have a feeling that alot more people would feel the same way.      Along with movies,and etc. I feel like none of them should be removed from the shelves of a library. There are kids sections, @CAPS1 sections, And even a teenage section. I feel like parents now in days dont want thier children to learn about stuff early in life. But i still feel like if they did not want there kids reading @CAPS3 then dont let them.     If there ever was a need to really look at something and give @CAPS3 another chance this  would be the topic right here. Libraries all over the world are all neat and organized. So why could they not make a section just for books, movies, magazines that people find offinsive. Sure @CAPS3 might take a little bit more work but hey, @CAPS2 one has to do @CAPS3.      As you can see these are really good reason why they should not remove stuff that other people find offinsive  from  libraries. I mean half of the stuff they find any way are based on true stories or they are biographys. People really do enjoy alot of these books and even movies,or magazines. @CAPS3 would be really great if this could happen, @CAPS3 would make a lot of people happy and satisfide.
",C,"{'C': 9, 'D': 1}",C
3548,"

Do I believe that vertain materials should be removed from the shelves of libraries if found offensive? I believe that all types of materials should be placed in libraries to satisfy the different styles of what people like. Censorship should not play a role because everyone has their own opinions on what is looked at as offensive and what is not. By giving everyone the freedom to enjoy what they like will make alot of people happier.      The wants and needs of people varie from one extreme to the other. What one person loves, another @MONTH1 hate. This should not play a role in whether or not materials should be removed from public places such as a library. Everyone has the right to express themselves through art in their own way. Taking away the art that some find offensive would not be fair to those who enjoy it. By doing this, not all people will be satisfied when not everyone gets what they want.     Censorship should not take part in any library. Entertainment can not always please everyone. It will be judged in many ways no matter what anyone has to say, so the problem should just be left alone. Arguing to take away the material that some like will only cause tension to rise and make matters worse. It is understandable, for example, that a parent would not want their child to be able to be welcomed into the media world where not everything has postive influences. That's life though and not everyone has th same outlook on it. You have to think of others, and respect their view of it all as well.     Opinons will vary with what I have had to say. I strongly believe that people should be given the right to enjoy the materials they take an interest in. Censorship definitely has its positives and negatives, but for the most part it is wrong and should not have a role in any library. Cutting down people's availability to their interests will only lead to frustration. You can not please everyone, so in that case, censorship will just have to be looked beyond.
",B,"{'B': 9, 'C': 1}",D
3549,"

Libraries hold many books and movies such as fiction, nonfiction, historical, fantasy, and adventure.  These books have many different styles and portrails and many of these @MONTH1 be takeno offensive but that doesn't mean that they can just be taken off the shelf.     One book that comes to my mind that can be seen as offensive is 'The @CAPS1 of @ORGANIZATION2'.  This book talks about blacks as slaves and how they should be whipped for being let go and it call them @ORGANIZATION1 offensive names yet it is a classic and is in almost every book store or library in the country. Why, because it was written back when slavery was legl and slaves were treated as property not people.    A movie that many people have seen recently is slumdog @CAPS4.  This movie has a boy from a slum being tortured because he knows the answers to the questions on the gameshow '@CAPS2 @CAPS3 to be a @CAPS4?'.  Many indians @CAPS2 are smarter could be offended by this because they are saying if you grow up in a slum you can't be smart.  But, people blow it off because it is a movie so it isn't real.       But if you go to somepeople and ask them about these books are movies some will say they are @ORGANIZATION1 good others might be offended so they might as weel stay on the shelfs.  The book '@CAPS5 @CAPS6' is a book about the civil war could this be scene as offensive showing the thoughts of both sides saying slavery is good and bad at the same time yet it is another classic and will stay on the book shelfs.     So books in libraries shouldn't be censroed because of being offensive to a race, sex, or group; they should stay on the shelf because every books other tahn some childrens books have something offensive.  Thus if we took books off the shelfs for being offensive their would be nothing to read except for 'The @ORGANIZATION1'!
",B,"{'B': 5, 'C': 5}",C
3550,"

Would you ever read a book about the @CAPS1 times if your @CAPS2? Are you going to read about how people of your religion and maybe even your family were tortured? Probably not. If your a colored man/woman, are you going to engage in a book that talks about slavery? Not likely. How about if you are a mother, are you going to want to read a novel or magazine about abortion? Are you going to let your child read that book? Of course not! So you are probably wondering why they are even on the shelves, right? Its on the shelves for basically one reason, to drownd us in the knowledge it holds.     Whether we are learning about criminals, racism, or wars, there is always going to be one person who is against it all. When we read, we find books that are to our own enjoyment, we look for books that can spark ideas and images in our heads. Most of us however, don't quite understand why others refuse to read such a book or even hold in their hands a book that is different from all their beliefs. Beliefs are important to people no matter their age, gender, sexuality, or their race. Its just a way of life.     Some stories are there for our entertainment, some catch our emotions, and some our there for our knowledge. When authors write, they usually think of events that have happend or what they predict could happen in the future. Authors try to get you to understand the world around you, not by trying to offend you in anyway. Books tend to affect people in many ways, possitive and yes, sometimes negative. Its something they can't really control though, so you can't really blame anyone for you being offended.     I don't agree that libraries shouldn't have these books on their shelves, I think they are good for us. No, i don't mean we should go around eating books. We should take time to read some of those so called offensive books. You are probably thinking, there is no way I'm going to pick up that type of book and sit down and read it. However, let me tell you that if we read these books, the more people will understand about how terrible times were back then and how some things are still bad. Take abortion into perspective. Books about abortion give us an idea about how horrible it is or how it can not only effect the women who go through with it. It appeals to the emotions of others in a way that makes them think twice about lifes decisions.     Books should be kept on the shelves for our own well-being. When it comes down to the choice, you will know just what to do. You know how useful books are in helping us see the differece between right and wrong. You understand why books are placed on shelves for in the first place, no its not for the money. I know that you are going to understand what I'm trying to tell you. Now head on over to your library and pick up a book about something you would like to no more about. Who knows, maybe you will get a book that makes you think twice about what information is held in between the bindings
",A,"{'A': 8, 'B': 2}",C
3551,"

In my opinion,  I do not believe that anyone has a choice in what children or any other age group chooses to read. It is not up to the general public to say what is right or wrong. When society says that every single child is not allowed to read a certain book, or listen to a certain song just because it is found offensive to some people. There are laws against restricting what a person can or can not view. There is a level of media that is not as appropriate as it should be but that does not mean it has to go away completely. Some of the reasons society can not sensor everything are because of the fact that not everone is offended by everything, it is up to the parent of the child to say what is right or wrong, and lastly individuality is comprimised if the choices we have are limited.      When someone gets offeneded by the media that is out there, that does not neccessarily mean that another person is also offended. When I do not like a video, or a book, or any other type of content, someone else should not have that content censorded because my opinion is in the way of what they enjoy. I know that personally I would not want someone to take away my favorite book so my child could not read it. Content that is out in the public will always be unsafe to read by someone else's views. Just like I will not believe in what other people believe in, but, I will see that it is valued by others and should not remain a censored topic.          Books that are considered inappropriate, should be decided to has censoreship by the parents of a young child. Decisions like that should not be left up to a group of people that has opposite views. Whe children are growing up and are taught the values that know today, it is their parents that teach them and not a society full of people which have different kinds of opinions. There is a saying by an author and it says 'all of us can think of a book that we hope none of our children or any other children have taken off the shelf' and all that means if we all would have the power to remove a book or any other content from the shelf that we do not like then their would not be any books left. I believ in that saying and I also believe that many others will as well.      Individualaity is when one person has differnt traits of feelings than another human being. We all have choices of the books we read and the musice we listen to and that is why we all have individuality. When people start to thnk that they are allowed to remove a certain song or book because that is not what they want other people to see, then everyone will do the same and no one would have that song they enjoy or the traits that make them differnt because they are the only one that likes that song. If there were not any of us left on this earth that has something that they enjoyed and no one else that also enjoyed the same thing, then we would all be pretty boring. I have learned from experience that being the person that has something different about them is not a bad thing and is actually a good thing in some cases.      Also from experience I have learned that a boom that is no longer on the shelf that someone has removed is not a good feeling. I would not want the same happen to all of the other books in the world. It is a very good thing to practice the art of understading, and to have an open mind when it comes to a certain material that another person happens to enjoy. In the future, when I find a book that @MONTH1 not be a book I would want my children to read, I will just let the topic go and remember that everyone has their own opinions. So in conclusion I just want to let everyone know that books that are seen as inappropriate or offensive to one person, @MONTH1 be seen as a good thing to another.
",B,{'B': 10},D
3552,"

Take it @CAPS1?          How do you take it when people come out with magazines, movies, or music that is extremely offensive to you? How can you stop your children or the younger generation from watching these things? The truth is we can not stop them, their is so much of the pornography and bad music out in this world that your can get it anywhere. It is all over the internet and you can't control that.     If I find something very offensive in a store or online I should have the right to voice my opinion, and that opinion should be taken seriously. They shouldn't have inappropiate things in public stores or places children can go. That is not right and it is setting a terrible example for the kids. Some people should just know better and take it @CAPS1.     Almost every day that i go online, i see something on the side of the website advertising some kinda of pornograghy site. Its unbelievible how that is allowed on public websites for everyone to see. If they're going to continue to do this, @CAPS2 needs to be some law saying they can not on public sites. I see things of half naked ladies on the side of the website and i know thats not okay for young kids to be seeing at those ages.     I understand a lot of things in this world is about money and people make money by selling things to others. Selling movies, magazines, and music saying or doing things that are rebelious is easy money for opper teens and older people. They can still make good money if they were to make funny stuff instead of pornography things, everyone loves to watch, read, or listening to something funny.     So basicly we aren't going to stop this completely and you all should know that. the best thing we can do is protest it and hope that it will start fading from the public some day. It should die down eventually. We can only hope for the best
",D,"{'D': 5, 'C': 5}",D
3553,"

Libraries have always had interesting materials, such as, books, music, movies, and magazines, and there always will be. Libraries are one of the best places to find those materials.          I do not believe that libraries should have to remove those materials from their shelves because maybe some people find them interesting? Thats all that libraries like are people interested in reading their books. If some people find different books offensive then they shouldn't go near those books. If they have a complaint then they should just keep it to themselves and not ruin the chance for others to check them out.     Libraries shouldn't have to take certain material out of there shelves because some people don't like them, its your choice to read that book, nobody is making you read something that makes you feel uncomfortable. Now say if there were a numerous amount of people that take offense to the materials in the library, then the library could decide whether they want to or not, but they still dont need to be told what to do. Its their business and they decide what materials stay and which ones go.     If I was one of those who took offense to a book in the library then i would just keep it to myself. I wouldn't like to go through all of that trouble of arguing and complaining just becouse of one book. Think of others before you think of yourself sometimes and what their interests are. Thats less trouble you will have to go through later on in life.
",C,"{'C': 8, 'D': 2}",D
3554,"

They should not be removed from the shelves. If someone finds it offensive they don't have to look at it or check it out. If someone finds it offensive then they can ask for that material to be put on the highest shelf their. They have a choice on whether they can get it or not. Many materials found in a library even if it is offensive can be helpful for someone else. The material could have or show some much needed information.      The people who find it offensive have the right to not look at it. Just cause there is some kind of material they find offensive does not mean that everyone does to. The people do not need to look at something that they find offensive. If there is something offensive about just ask a librarian if they can place that book or movie up higher on the shelves.      If they find something offensive about the material then they can just not look at. Just don't check it out if you find it offensive. If they need it out of site you can always put it on the highest shelf.      There are a lot of offensive material in libraries. Even though they are found offensive to someone, someone else could use that material for a paper or project. Getting rid of a material can lose someone information about whatever they are researching. The books are always the easiest way to get information but not when you are getting rid of them.      The reason why material from libraries should not be taken away is cause the kids can still find that stuff on the internet. If you get rid of those materials you should probably get rid of your internet too. No matter how you try to keep your kids away from finding or seeing offensive stuff there is always a way for them to see it. So the offensive material should not be taken off shelves in the library because they are needed and children will find out about the offensive stuff when ever they want to
",C,"{'C': 7, 'D': 3}",D
3555,"

If you saw a book on the shelf of your library that took offense to you in some way or another how would you react? Would you simply pass the book by and go on searching for another, or would you be so taken by it that you demanded it be removed from the shelves immediately? Every school, public library,  movie theatre, magazine stand, and any form of media in this world will do or say one thing or another that someone is not going to like. It could be in a magazine in the do and don'ts section and you get slightly offended because you do something that is on the don't list or something about a specific race. Everyone, one time in their life, has been accidentally hurt by other peoples words and publishings in the world, but I do not think that is ever going to stop.     All forms of media are for learning and entertainment purposees. These things out there in the world are not for one specific group of people, they are for everyone. Every individual person has their own opinion and not everyone else is going to agree with that person. Just because one person does not agree with which hairstyle is hot right now doesn't mean that they should take it out of their magazines for all of their viewers. To me, that is just ridicolous.      So, say you stumbled across a book about the @ORGANIZATION1 in the library and you are a person from negro descent. Would you get offended? Or, say you were watching a show that was talking about slavery a hundred years ago, would that anger you? If I were a person of negro descent it wouldn't make me mad at all, because it is just history, history that happened a long time ago that does not pertain to me. We could not toss those books out anyways because without those history books at school we couldn't learn about our history. History is important to everyone and if we didn't learn about it and they did toss those books out how would we prevent history from repeating itself?     When I was a young child my father used to hit my mother, so my mother takes offense to anything in the media that has to deal with abuse. I tried to have my mother watch a movie with me called '@CAPS1'. The movie is about a girl who is abused by her mother and has her father's babies and she finally gets out of it and betters her and her childrens lives. My mom said that she couldn't watch it with me because, 'it hit too close to home.'      Everyone is going to become offended in their life by the media. The media does not look at you as a whole, just as a population of people. When one person doesn't like something it doesn't mean it should be taken out or erased from history, it should just be rewritten or refilmed. You cannot control what everyone else says or does in books or movies, you have to just be in control of how you look upon it as. That is what I choose to do and I would say it is working out great.
",A,"{'A': 6, 'B': 4}",C
3557,"

What do I think about library censorship? I believe that there should be some censorship, but not too much censorship. Each person has their own interests and should be able to find something in their library to suit their interest.     Certain materials are too strong to be put in libraries. There are stores that could provide you with that material for you to purchase. Most parents wouldn't like their child to be exposed to these certain materials, so they believe that the libraries shouldn't provide these types of materials.     Now there are some materials that are pushing the line of their content. They are strong, but not too strong to not be put in libraries. Some people enjoy these strong materials and should be able to find them in their libraries for their pleasure.     Just because someone doesn't enjoy this material that the library has provided, doesn't mean that the material should be taken away. If that was how things worked there would be nothing in the library for people to enjoy. Every person has their own taste in materials, be it more mature materials or a little more 'tame' materials. Everyone is inclined to their opinions, but their opinion doesn't decide what is and isn't in their library.     I myself enjoy a wide choice of materials from libraries. Some strong materials, some more 'tame' materials. It all depends on the persons own interests and choices. Sometimes I @MONTH1 be disapointed when I'm looking for something in a library and it's not there, because to some people it's too strong but to me and others it's just a good source of harmless entertainment.     In conclusion I think that there should be some censorship in libraries, but not too much censorship that people can't find things that interest them. Everyone is entitled to their own beliefs and has their own form of entertainment, but their libraries shouldn't be built on an indivdual's opinions.
",B,"{'B': 6, 'C': 4}",D
3558,"

Do you think books, music, movies or anything else that could have something offensive be removed from the shelves from our libraries? Well this is what im going to talk about in my essay.     I do not think that certain materials should be removed from the shelves. The reason is, is because just because you don't like something that one book might have in it dosen't mean that another person won't. Also, some book that have offensive things in them can help you realize the consequenses that could happen of it could reinform you about those kind of things. Also if you think the reading material is going to be something you wouldn't read or you think is not appropriate then just don't read it, it saves it so when someone else that actually wants to read something like that then let them.      Sometimes i will go to the library to find a book that i saw somewhere in a different store and they wouldn't have it, so i would ask about it and they said that if they didn't have it there then it must something in it that could be offensive to others. But i know that alot of people like those nasty gross books and some don't. People have different opinons about things, so just because the person that is aloud to take the books of the shelve or put them on don't like the book or thinks its not appropriate dosn't mean that someone else will not like it either.      Well, here is what i think of certain books or anything else that contains reading that are being taking off the shelves. I hope it makes people realize that they do like other things than you so leave the offensive readings out so people can learn that if they don't like it then don't read it
",C,{'C': 10},D
3559,"

Well today i am going to talk to you about censorship in books, Music, Movies, an Magazines  in your libraries, because some of them can be pretty grafic on some of the things they talk about or do in a story. But yes some of them can be more grafic than others, but that doesnt mean you have to take them off the self. Ya not everyone is into a sexual book but there are some people out there that like to read about that stuff. But some people like to read about murders an gangs selling drugs and thats fine. Its like this everyone has their own taste on what they like. it can be a novel, @ORGANIZATION1. Sports, @CAPS1,  just a true story that has happen to someone, an etc. thats just the part of the world. how would it be if everyone liked the same things. pretty boring right yeah deffentally.  So therefore i dont think books should be takin off the shelfs. it could be the next best story for somebody. you never know.     Now with music yes your so called rap today is music that your kids should not listen to. All they talks about is sex, drugs, achole, an etc. But that desnt give you the right to take them off the shelf thats what some people like to listen too. but there is some music out there that dont just talk about that. there is the oldies, country, jazz, hip hop, an etc. but for the most part all music is good its just some of them are better than others, lets take country for instents ya it talks about some sex, an some achole but thats not the whole song they manly talk about country boys an the things they do or have happened to them over time, an they are pretty much right. So all music is good, but without music i dont think the world would be a very nice place. people listen to music all the time. when working out, at work, driving, or just siting at home. So there are some good music an bad muic you make the call.     But with movies there are some movies made just for that reason its all call intertainment for adults. which yes is kinda pointless, but its there an prolly wont ever leave. there are movies made for sex, drugs, an achole. thats just the part of life, everything is not perfect. So in that matter you gota tell your children about this stuff in stop them from watching it at a younge age. because i think it is taking a big role in teen pregnecy, beacuse it they see it an hey it looks fun we shoud try it, and sexual content is so easy to get. its all over the web an etc. its like drugs they are so easy to get. there are meth labs all over for meth. an there is weed all arund. you just gota tell your kids what they can watch an cant. Disney, @ORGANIZATION2, an @CAPS2. are all great shows for kids. so parents be the boss about that stuff.     Now we get to Magazines. there are millions of magazines all aound the world, they are one thing that will never leave this world. they carry news, intertainment, comics, or tips on how to do somethng. thats what is going to be in this world till the world ends. But yes take with caution there are some magazines out there that your children should never look at till adults. but that doesent make them bad people injoy looking at them kinda magazines thats just what people like. its not like your going to stop your son from looking at a @CAPS3. or your daughter from looking at porn. its all apart of life. but you can stop it from happening at a younge age. you just gota get it clear to your child to not look at this stuff till your older. but you cant stop everything. But all i am trying to say is yes there is some bad things out there an their is alot of good things to. but that doesnt give you the right to remove them
",D,"{'D': 7, 'C': 3}",D
3560,"

Do I think offensive reading materials should be taken off the shelves in libraries? No, books should not be taken out of libraries. If students go to school and they are in high school they pretty much already know what is going on around the world. Teens do talk about their lives so pretty much @CAPS1. High and @CAPS2 students are going to hear. If the parents are sending their child to school and they don't want them to hear about it then don't send them to school! In school they will hear verbal arguments and see fights. If the parents don't want them to hear about it from other kids than they tell them, they explain it to them. One way or another they will find out. It can come from the parents, their friends, teachers anybody. Teens do not care if your child is watching when they are fighting; they are not worried about that at that time.     The saying 'one person ruins it all for everybody,' well thats because some teens need to grow up and act their age. If you can't act your age than you shouldn't be in the grade you are in. Kids and teens need to grow up if they can't read a book without being inmature about it than don't read it. If their parents let them watch movies that they think they are old enough to watch than don't take advantage of that.          Taking books out of the libraries will not change anything. Kids will still fight and rough house. Yeah some books are a little outragous, but not all books. To be honest libraries should have sections of books depending on the age or grade they are in. High schoolers should be able to control reading about sex, drugs, or drinking. If they are not responsible to read that than they shouldn't get that book anyway. Songs made today can get a little out of hand. If your child listens to that kind of music with all the bad words, talking about sex, drugs, alchol. Than parents all you got to do is take those songs away. Teens that are mature shouldn't get punished just because inmature can't watch a movie, listen to sond, read a book or a magazine. It's not fair to those people. People that act their age should be able to read, watch the movie, or anything just because they can handle the situation better. So don't punish everybody just because of some inmature kids that ruin it for everybody
",C,"{'C': 8, 'D': 2}",D
